 20181007
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       47100   1.24070001       1.65371633       1.12699997    
       47160   1.24070001       1.65389693       1.12699997    
       47220   1.24170732       1.65389693       1.12699997    
       47280   1.24504876       1.65381861       1.12699997    
       47340   1.24660981       1.65381861       1.12699997    
       47400   1.24660981       1.65348470       1.12699997    
       47460   1.25014639       1.65348470       1.12699997    
       47520   1.25660980       1.65310740       1.12699997    
       47580   1.25739026       1.65310740       1.12699997    
       47640   1.25739026       1.65267932       1.12699997    
       47700   1.26134145       1.65267932       1.12699997    
       47760   1.26732504       1.65242326       1.12699997    
       47820   1.27346158       1.65242326       1.12699997    
       47880   1.27067494       1.65205944       1.12699997    
       47940   1.27435005       1.65205944       1.12699997    
       48000   1.27948713       1.65144253       1.12699997    
       48060   1.28684616       1.65144253       1.12699997    
       48120   1.29146159       1.65084946       1.12699997    
       48180   1.29467499       1.65084946       1.12699997    
       48240   1.30053842       1.65033400       1.12699997    
       48300   1.30694866       1.65033400       1.12699997    
       48360   1.31648719       1.64979696       1.12699997    
       48420   1.31225002       1.64979696       1.12699997    
       48480   1.32082057       1.64897943       1.12699997    
       48540   1.32274354       1.64897943       1.12699997    
       48600   1.31328201       1.64781463       1.12699997    
       48660   1.30509996       1.64781463       1.12699997    
       48720   1.30197442       1.64656830       1.12699997    
       48780   1.29553843       1.64656830       1.12699997    
       48840   1.29420507       1.64546680       1.12699997    
       48900   1.28995001       1.64546680       1.12699997    
       48960   1.28995001       1.64481843       1.12699997    
       49020   1.29026830       1.64481843       1.12699997    
       49080   1.28714287       1.64449692       1.12699997    
       49140   1.28188372       1.64449692       1.12699997    
       49200   1.28480947       1.64433503       1.12699997    
       49260   1.27607143       1.64433503       1.12699997    
       49320   1.26902330       1.64420688       1.12699997    
       49380   1.26465118       1.64420688       1.12699997    
       49440   1.26459527       1.64433527       1.12699997    
       49500   1.25814283       1.64433527       1.12699997    
       49560   1.25588369       1.64502740       1.12699997    
       49620   1.24697673       1.64502740       1.12699997    
       49680   1.24011910       1.64594924       1.12699997    
       49740   1.23292851       1.64594924       1.12699997    
       49800   1.23311627       1.64678311       1.12699997    
       49860   1.23413956       1.64678311       1.12699997    
       49920   1.22964287       1.64743519       1.12699997    
       49980   1.21654761       1.64743519       1.12699997    
       50040   1.21318603       1.64795399       1.12699997    
       50100   1.19893026       1.64795399       1.12699997    
       50160   1.19847620       1.64796436       1.12699997    
       50220   1.19169044       1.64796436       1.12699997    
       50280   1.18555808       1.64807355       1.43200004    
       50340   1.18648839       1.64807355       1.43200004    
       50400   1.18861902       1.64800179       1.43200004    
       50460   1.18735719       1.64800179       1.43200004    
       50520   1.18627906       1.64767063       1.43200004    
       50580   1.18695235       1.64767063       1.43200004    
       50640   1.18458140       1.64746130       1.43200004    
       50700   1.18458140       1.64746130       1.43200004    
       50760   1.18516278       1.64702106       1.43200004    
       50820   1.18186367       1.64702106       1.43200004    
       50880   1.17427278       1.64628625       1.43200004    
       50940   1.16930234       1.64628625       1.43200004    
       51000   1.16667438       1.64574242       1.43200004    
       51060   1.16915905       1.64574242       1.43200004    
       51120   1.16536367       1.64518845       1.43200004    
       51180   1.16356814       1.64518845       1.43200004    
       51240   1.16058135       1.64444542       1.43200004    
       51300   1.16581821       1.64444542       1.43200004    
       51360   1.16965914       1.64365780       1.43200004    
       51420   1.17071116       1.64365780       1.43200004    
       51480   1.17071116       1.64285278       1.43200004    
       51540   1.17090905       1.64285278       1.43200004    
       51600   1.16867447       1.64199603       1.43200004    
       51660   1.16867447       1.64199603       1.43200004    
       51720   1.16659522       1.64122796       1.43200004    
       51780   1.16263413       1.64122796       1.43200004    
       51840   1.15620005       1.64017212       1.43200004    
       51900   1.15620005       1.64017212       1.43200004    
       51960   1.14894867       1.63900375       1.43200004    
       52020   1.13274360       1.63900375       1.43200004    
       52080   1.12779486       1.63801074       1.43200004    
       52140   1.12489998       1.63801074       1.43200004    
       52200   1.12335896       1.63743973       1.43200004    
       52260   1.12510252       1.63743973       1.43200004    
       52320   1.12969232       1.63711905       1.43200004    
       52380   1.13082504       1.63711905       1.43200004    
       52440   1.13425636       1.63697135       1.43200004    
       52500   1.13415384       1.63697135       1.43200004    
       52560   1.13135898       1.63692117       1.43200004    
       52620   1.13012505       1.63692117       1.43200004    
       52680   1.12569237       1.63664305       1.43200004    
       52740   1.12469232       1.63664305       1.43200004    
       52800   1.12430763       1.63645279       1.43200004    
       52860   1.12537503       1.63645279       1.43200004    
       52920   1.13015389       1.63630188       1.43200004    
       52980   1.13428950       1.63630188       1.43200004    
       53040   1.13321626       1.63603866       1.43200004    
       53100   1.13321626       1.63603866       1.43200004    
       53160   1.13313890       1.63551128       1.43200004    
       53220   1.13234282       1.63551128       1.43200004    
       53280   1.12782860       1.63453603       1.43200004    
