 20180817
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
       42780   5.23131132       2.83792830       3.63000011    
       42840   5.24229527       2.83854342       3.63000011    
       42900   5.25131130       2.84511828       3.63000011    
       42960   5.26278687       2.85665774       3.63000011    
       43020   5.27622938       2.86993194       3.63000011    
       43080   5.28442621       2.88144827       3.63000011    
       43140   5.29475403       2.88991833       3.63000011    
       43200   5.30262280       2.89623570       4.40000010    
       43260   5.30967236       2.90123367       4.40000010    
       43320   5.31180334       2.90467453       4.40000010    
       43380   5.31311464       2.90592504       4.40000010    
       43440   5.30983591       2.90435982       4.40000010    
       43500   5.30704927       2.89942169       4.40000010    
       43560   5.30409813       2.89091063       4.40000010    
       43620   5.29967213       2.87917948       4.40000010    
       43680   5.29639339       2.86484385       4.40000010    
       43740   5.28688526       2.84868193       4.40000010    
       43800   5.27590179       2.83205366       4.40000010    
       43860   5.26213121       2.81666827       4.40000010    
       43920   5.25311470       2.80364752       4.40000010    
       43980   5.24704933       2.79330444       4.40000010    
       44040   5.23672152       2.78563476       4.40000010    
       44100   5.22885227       2.78064775       4.40000010    
       44160   5.22557354       2.77820754       4.40000010    
       44220   5.22098351       2.77780724       4.40000010    
       44280   5.21409845       2.77863526       4.40000010    
       44340   5.20950842       2.78000093       4.40000010    
       44400   5.19475412       2.78183842       4.40000010    
       44460   5.18196726       2.78472686       4.40000010    
       44520   5.16803265       2.78934765       4.40000010    
       44580   5.16147518       2.79596305       4.40000010    
       44640   5.14803267       2.80419707       4.40000010    
       44700   5.12295103       2.81316566       4.40000010    
       44760   5.09967232       2.82180405       4.40000010    
       44820   5.07377052       2.82925987       4.40000010    
       44880   5.05491781       2.83522701       4.40000010    
       44940   5.03065586       2.84001994       4.40000010    
       45000   5.00032806       2.84416699       4.40000010    
       45060   4.96803284       2.84787512       4.40000010    
       45120   4.93803263       2.85084915       4.40000010    
       45180   4.90229511       2.85261226       4.40000010    
       45240   4.87836075       2.85328197       4.40000010    
       45300   4.84770489       2.85360217       4.40000010    
       45360   4.81213093       2.85436893       4.40000010    
       45420   4.77885246       2.85594940       4.40000010    
       45480   4.74524593       2.85785532       4.40000010    
       45540   4.71000004       2.85750484       4.40000010    
       45600   4.67770481       2.85121202       4.40000010    
       45660   4.64541006       2.83809328       4.40000010    
       45720   4.61540985       2.81999946       4.40000010    
       45780   4.58704901       2.79932547       4.40000010    
       45840   4.56081963       2.77866173       4.40000010    
       45900   4.53655720       2.76095510       4.40000010    
       45960   4.51311493       2.74845624       4.40000010    
       46020   4.49147558       2.74181652       4.40000010    
       46080   4.46524572       2.74010944       4.40000010    
       46140   4.44311476       2.74145579       4.40000010    
       46200   4.42163944       2.74406290       4.40000010    
       46260   4.39950800       2.74698496       4.40000010    
       46320   4.37786865       2.74990821       4.40000010    
       46380   4.35081959       2.75251961       4.40000010    
       46440   4.32655716       2.75469041       4.40000010    
       46500   4.30524588       2.75704026       4.40000010    
       46560   4.28213120       2.76022768       4.40000010    
       46620   4.26327848       2.76353574       4.40000010    
       46680   4.24491787       2.76513982       4.40000010    
       46740   4.22639322       2.76371455       4.40000010    
       46800   4.20622969       2.75938988       6.03000021    
       46860   4.18573761       2.75341344       6.03000021    
       46920   4.17213106       2.74741006       6.03000021    
       46980   4.15852451       2.74315047       6.03000021    
       47040   4.14819670       2.74258375       6.03000021    
       47100   4.13754082       2.74735475       6.03000021    
       47160   4.12852478       2.75791550       6.03000021    
       47220   4.11983585       2.77313614       6.03000021    
       47280   4.11377048       2.79107094       6.03000021    
       47340   4.10557365       2.81010437       6.03000021    
       47400   4.09983587       2.82939291       6.03000021    
       47460   4.09196711       2.84852219       6.03000021    
       47520   4.08737707       2.86703587       6.03000021    
       47580   4.08163929       2.88438988       6.03000021    
       47640   4.07377052       2.90029454       6.03000021    
       47700   4.06934404       2.91506362       6.03000021    
       47760   4.06245899       2.92977118       6.03000021    
       47820   4.05475426       2.94578338       6.03000021    
       47880   4.05032778       2.96364236       6.03000021    
       47940   4.04213095       2.98215270       6.03000021    
       48000   4.03524590       2.99888539       6.03000021    
       48060   4.03163958       3.01184797       6.03000021    
       48120   4.02721310       3.02052712       6.03000021    
       48180   4.02344275       3.02568698       6.03000021    
       48240   4.01852465       3.02889490       6.03000021    
       48300   4.01065588       3.03197384       6.03000021    
       48360   4.00901651       3.03641033       6.03000021    
       48420   4.00393438       3.04304194       6.03000021    
       48480   3.99950814       3.05206800       6.03000021    
       48540   3.99459028       3.06302977       6.03000021    
       48600   3.99704909       3.07493687       6.03000021    
       48660   3.99786878       3.08664227       6.03000021    
       48720   3.99983597       3.09726644       6.03000021    
       48780   3.99868846       3.10642910       6.03000021    
       48840   3.99754095       3.11407042       6.03000021    
       48900   3.99606562       3.12025833       6.03000021    
       48960   3.99721313       3.12531114       6.03000021    
       49020   3.99672127       3.12997460       6.03000021    
       49080   3.99967217       3.13527536       6.03000021    
       49140   3.99721313       3.14220834       6.03000021    
       49200   3.99524593       3.15153146       6.03000021    
       49260   3.98786879       3.16371703       6.03000021    
       49320   3.97967219       3.17885494       6.03000021    
       49380   3.97065568       3.19647026       6.03000021    
       49440   3.96049190       3.21548152       6.03000021    
       49500   3.94934416       3.23442864       6.03000021    
       49560   3.93327880       3.25187850       6.03000021    
       49620   3.91770482       3.26692891       6.03000021    
       49680   3.89967203       3.27952647       6.03000021    
       49740   3.88213110       3.29020238       6.03000021    
       49800   3.86213112       3.29909348       6.03000021    
       49860   3.84081960       3.30506229       6.03000021    
       49920   3.81950831       3.30620360       6.03000021    
       49980   3.80213118       3.30135989       6.03000021    
