 20181204
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
       16080   6.38286495      -12.2449169       1.75616801      -10.1313305       6.49218798      -13.7454157    
       16140   6.35166979      -12.2413044       1.75194108      -10.1697350       6.45562887      -13.7872219    
       16200   6.31119251      -12.2140541       1.73981988      -10.2158136       6.41924286      -13.8111954    
       16260   6.26631498      -12.1946392       1.72400928      -10.2598677       6.39049053      -13.8073950    
       16320   6.24391079      -12.1663580       1.70826542      -10.2960434       6.37157393      -13.7879868    
       16380   6.20751143      -12.1319017       1.69764948      -10.3155642       6.35709906      -13.7583456    
       16440   6.17482090      -12.0928984       1.69472444      -10.3142338       6.34478188      -13.7233009    
       16500   6.15886211      -12.0672045       1.69693565      -10.2998314       6.33666372      -13.6847467    
       16560   6.13412333      -12.0511990       1.70187128      -10.2776575       6.32814169      -13.6416521    
       16620   6.09250116      -12.0285921       1.71025765      -10.2461357       6.31732607      -13.6012440    
       16680   6.05612993      -12.0058136       1.72205663      -10.2068501       6.30687523      -13.5753317    
       16740   5.99585104      -11.9874544       1.73418832      -10.1656389       6.29615259      -13.5594997    
       16800   5.94992161      -11.9819145       1.74476361      -10.1290817       6.28728437      -13.5585232    
       16860   5.91012859      -11.9694815       1.75541234      -10.1031513       6.27375412      -13.5736132    
       16920   5.87942028      -11.9651346       1.76701987      -10.0915747       6.25333118      -13.5909491    
       16980   5.84494877      -11.9547462       1.77703869      -10.0936670       6.23070765      -13.6082888    
       17040   5.81021309      -11.9277649       1.78216565      -10.1052189       6.21099424      -13.6211977    
       17100   5.76198864      -11.9247217       1.78223324      -10.1199598       6.19652367      -13.6341400    
       17160   5.72563267      -11.9248543       1.78130555      -10.1327181       6.18435907      -13.6382408    
       17220   5.70326424      -11.9290791       1.78351724      -10.1435595       6.17611313      -13.6197357    
       17280   5.67690802      -11.9035721       1.78913534      -10.1516514       6.17296457      -13.5765648    
       17340   5.62317705      -11.8714399       1.79754531      -10.1450520       6.17081261      -13.5228863    
       17400   5.57716036      -11.8442116       1.81004202      -10.1107178       6.16752863      -13.4719296    
       17460   5.55050421      -11.8027916       1.82619441      -10.0566454       6.16362000      -13.4250984    
       17520   5.50754499      -11.7478914       1.84367573      -9.99914742       6.15773344      -13.3867178    
       17580   5.47026348      -11.7023754       1.86121869      -9.94423485       6.14869118      -13.3616886    
       17640   5.41217470      -11.6506462       1.87775838      -9.89573479       6.13547564      -13.3494511    
       17700   5.37442923      -11.5926580       1.89136577      -9.85805607       6.11736917      -13.3460703    
       17760   5.32201385      -11.5633497       1.90123940      -9.83277702       6.09463835      -13.3493176    
       17820   5.26445436      -11.5237350       1.90783763      -9.81893158       6.06745911      -13.3521795    
       17880   5.20279264      -11.4601994       1.91032493      -9.81285381       6.03772593      -13.3484535    
       17940   5.16202736      -11.4293919       1.90729153      -9.80884457       6.00974178      -13.3314028    
       18000   5.10365534      -11.3978329       1.89901495      -9.80132008       4.99379778      -11.2914419    
       18060   5.04435635      -11.3631182       1.88862622      -9.78444672       4.94912767      -11.2114162    
       18120   4.99741411      -11.3470135       1.88112330      -9.74414635       4.90336180      -11.1232328    
       18180   4.94692612      -11.3455362       1.87790680      -9.66938877       4.86249113      -11.0356827    
       18240   4.90308762      -11.3305273       1.87623763      -9.57750702       4.83034325      -10.9485521    
       18300   4.84573078      -11.3204842       1.87606597      -9.48388386       4.79912090      -10.8637543    
       18360   4.81609917      -11.3008204       1.88086832      -9.38856792       4.76538134      -10.7857866    
       18420   4.78441525      -11.2966900       1.89028549      -9.29962635       4.72819567      -10.7056446    
       18480   4.73726130      -11.2963371       1.90012789      -9.21948051       4.69121313      -10.6268311    
