 20190128
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
       24900  -3.43506718       4.02898073      0.178936303       3.70157313       1.02916288       4.84183073    
       24960  -3.53612661       4.01144743      0.162647918       3.66945076       1.02916288       4.84183073    
       25020  -3.63735509       3.99466872      0.145813257       3.63656664       1.02916288       4.84183073    
       25080  -3.73296356       3.97703266      0.131142557       3.60273433       1.02916288       4.84183073    
       25140  -3.83099771       3.95530176      0.119202048       3.56943703       1.02916288       4.84183073    
       25200  -3.93306565       3.92548752      0.108099684       3.53661346       1.02916288       4.84183073    
       25260  -4.02752018       3.89766312       9.50612947E-02   3.50274301      -1.07425463       5.52656126    
       25320  -4.11927128       3.86988068       7.80015886E-02   3.46710968      -1.07425463       5.52656126    
       25380  -4.20790720       3.83951831       5.69425635E-02   3.42896748      -1.07425463       5.52656126    
       25440  -4.28897238       3.80271387       3.43739614E-02   3.38800287      -1.07425463       5.52656126    
       25500  -4.36594391       3.76239824       1.39570590E-02   3.34695148      -1.07425463       5.52656126    
       25560  -4.44393396       3.72897124      -8.97204445E-04   3.31142640      -1.07425463       5.52656126    
       25620  -4.51185274       3.69711137      -8.51345435E-03   3.28626060      -1.07425463       5.52656126    
       25680  -4.58564711       3.66005540      -1.02738254E-02   3.27231765      -1.07425463       5.52656126    
       25740  -4.66130686       3.62668753      -1.01922154E-02   3.26524878      -1.07425463       5.52656126    
       25800  -4.73711538       3.59601998      -1.36110215E-02   3.25946116      -1.07425463       5.52656126    
       25860  -4.81557608       3.56568718      -2.57166997E-02   3.25328612      -1.07425463       5.52656126    
       25920  -4.89141607       3.52941298      -4.81744967E-02   3.24632764      -1.07425463       5.52656126    
       25980  -4.96531439       3.49913311      -7.73872510E-02   3.23776150      -1.07425463       5.52656126    
       26040  -5.03930473       3.47421241     -0.109087005       3.22792935      -1.07425463       5.52656126    
       26100  -5.11574745       3.43988156     -0.141095296       3.21741366      -1.07425463       5.52656126    
       26160  -5.18403292       3.42358351     -0.171869591       3.20618320      -1.07425463       5.52656126    
       26220  -5.25374031       3.39919519     -0.199240595       3.19353271      -1.07425463       5.52656126    
       26280  -5.31701994       3.37572074     -0.220852047       3.17904687      -1.07425463       5.52656126    
       26340  -5.38065910       3.35182333     -0.234404713       3.16444516      -1.07425463       5.52656126    
       26400  -5.44351864       3.32311153     -0.238047794       3.15250897      -1.07425463       5.52656126    
       26460  -5.50062132       3.30253792     -0.231914341       3.14389348      -1.07425463       5.52656126    
       26520  -5.55997562       3.27878642     -0.218730912       3.13713050      -1.07425463       5.52656126    
       26580  -5.62497425       3.25139737     -0.202312782       3.12999773      -1.07425463       5.52656126    
       26640  -5.68082762       3.22061229     -0.185338810       3.11998153      -1.07425463       5.52656126    
       26700  -5.72995615       3.18600893     -0.169497654       3.10540152      -1.07425463       5.52656126    
       26760  -5.78602886       3.14969397     -0.156310365       3.08616328      -1.07425463       5.52656126    
       26820  -5.85111380       3.12191558     -0.147262499       3.06368041      -1.07425463       5.52656126    
       26880  -5.91353273       3.08893394     -0.143524364       3.03982878      -1.07425463       5.52656126    
       26940  -5.97667360       3.04599929     -0.145254955       3.01607156      -1.07425463       5.52656126    
       27000  -6.04137564       3.00676656     -0.152282208       2.99212980      -1.07425463       5.52656126    
       27060  -6.09774542       2.97128654     -0.164322808       2.96775913      -1.07425463       5.52656126    
       27120  -6.14498663       2.93652344     -0.181537122       2.94551444      -1.07425463       5.52656126    
       27180  -6.19615555       2.90455294     -0.204065889       2.92816734      -1.07425463       5.52656126    
       27240  -6.24486542       2.86743116     -0.230949566       2.91583872      -1.07425463       5.52656126    
       27300  -6.30340290       2.82973409     -0.259322345       2.90648794      -1.07425463       5.52656126    
       27360  -6.35782862       2.78848362     -0.286083192       2.89656281      -1.07425463       5.52656126    
       27420  -6.41402817       2.74510741     -0.311114252       2.88203645      -1.07425463       5.52656126    
       27480  -6.46977854       2.69413590     -0.335896790       2.86121464      -1.07425463       5.52656126    
       27540  -6.51363373       2.64297891     -0.360787511       2.83522296      -1.07425463       5.52656126    
       27600  -6.56034184       2.59429121     -0.385664672       2.80680203      -1.07425463       5.52656126    
       27660  -6.60835552       2.54251981     -0.410764456       2.77880931      -1.07425463       5.52656126    
       27720  -6.65631962       2.49580836     -0.435942471       2.75328112      -1.07425463       5.52656126    
       27780  -6.70613480       2.44230437     -0.460492969       2.73142004      -1.07425463       5.52656126    
       27840  -6.75406408       2.38195157     -0.484222323       2.71434331      -1.07425463       5.52656126    
       27900  -6.80334616       2.31730413     -0.508158028       2.70259786      -1.07425463       5.52656126    
       27960  -6.85896921       2.24378014     -0.532779813       2.69456935      -1.07425463       5.52656126    
       28020  -6.90154266       2.17055297     -0.555996478       2.68751955      -1.07425463       5.52656126    
       28080  -6.93294954       2.09145570     -0.574953198       2.68100357      -1.07425463       5.52656126    
       28140  -6.95406342       2.01310539     -0.588573396       2.67530966      -1.07425463       5.52656126    
       28200  -6.96841049       1.93390942     -0.597843528       2.66948557      -1.07425463       5.52656126    
       28260  -6.98346186       1.85355508     -0.604372561       2.66206789      -1.07425463       5.52656126    
       28320  -6.99584723       1.77242148     -0.609546959       2.65261602      -1.07425463       5.52656126    
       28380  -7.01469469       1.68780148     -0.614872336       2.64187694      -1.07425463       5.52656126    
       28440  -7.01429892       1.60310507     -0.621398091       2.63094378      -1.07425463       5.52656126    
       28500  -7.01540518       1.51640999     -0.629318297       2.62058544      -1.07425463       5.52656126    
       28560  -7.01738977       1.42895830     -0.638901770       2.61158633      -1.07425463       5.52656126    
       28620  -7.02675867       1.33481860     -0.651079714       2.60464311      -1.07425463       5.52656126    
       28680  -7.03954983       1.23985851     -0.666492641       2.59937930      -1.07425463       5.52656126    
       28740  -7.05018997       1.14826763     -0.684401870       2.59425902      -1.07425463       5.52656126    
       28800  -7.06436396       1.05787456     -0.702666104       2.58846521      -1.07425463       5.52656126    
       28860  -7.07314539      0.976375878     -0.718866646       2.58274341      -4.02244520       3.75099087    
       28920  -7.08369637      0.889304757     -0.731716812       2.57824326      -4.02244520       3.75099087    
       28980  -7.09541225      0.798595130     -0.741649747       2.57526684      -4.02244520       3.75099087    
       29040  -7.10899353      0.701488853     -0.750836730       2.57251596      -4.02244520       3.75099087    
       29100  -7.12146711      0.608558178     -0.762198329       2.56716251      -4.02244520       3.75099087    
       29160  -7.14659977      0.508124769     -0.777730048       2.55592155      -4.02244520       3.75099087    
       29220  -7.17098570      0.402213246     -0.797152817       2.53686833      -4.02244520       3.75099087    
       29280  -7.20582151      0.287323833     -0.818060100       2.51088405      -4.02244520       3.75099087    
       29340  -7.22678089      0.173733428     -0.837338805       2.48246002      -4.02244520       3.75099087    
       29400  -7.24294472       6.22597374E-02 -0.851414979       2.45583296      -4.02244520       3.75099087    
       29460  -7.25661707      -4.86106686E-02 -0.855764627       2.43092632      -4.02244520       3.75099087    
       29520  -7.26574516     -0.154898107     -0.848662376       2.40748501      -4.02244520       3.75099087    
       29580  -7.27626848     -0.260705203     -0.835280657       2.38692331      -4.02244520       3.75099087    
       29640  -7.28814840     -0.355690271     -0.822147310       2.36956000      -4.02244520       3.75099087    
       29700  -7.29633760     -0.450090468     -0.810988665       2.35468554      -4.02244520       3.75099087    
       29760  -7.30293894     -0.539132118     -0.800632715       2.34075570      -4.02244520       3.75099087    
       29820  -7.30721235     -0.634526312     -0.791286886       2.32583976      -4.02244520       3.75099087    
       29880  -7.30361462     -0.734517932     -0.785317123       2.30921817      -4.02244520       3.75099087    
       29940  -7.29974556     -0.830006599     -0.785799265       2.29171515      -4.02244520       3.75099087    
       30000  -7.30091381     -0.929193556     -0.794683695       2.27447176      -4.02244520       3.75099087    
       30060  -7.30487251      -1.02713764     -0.811461806       2.25754762      -4.02244520       3.75099087    
       30120  -7.30136013      -1.12635672     -0.833874822       2.23991847      -4.02244520       3.75099087    
       30180  -7.29081488      -1.22091806     -0.859984517       2.22031379      -4.02244520       3.75099087    
       30240  -7.27534151      -1.31361067     -0.888855755       2.19815898      -4.02244520       3.75099087    
       30300  -7.26488829      -1.39297652     -0.919637501       2.17355633      -4.02244520       3.75099087    
       30360  -7.25712585      -1.47359288     -0.950779676       2.14710689      -4.02244520       3.75099087    
       30420  -7.23575497      -1.55408370     -0.979967833       2.11969829      -4.02244520       3.75099087    
       30480  -7.21207094      -1.64117527      -1.00449586       2.09196925      -4.02244520       3.75099087    
       30540  -7.18849277      -1.73027110      -1.02207446       2.06491065      -4.02244520       3.75099087    
       30600  -7.16873264      -1.81589007      -1.03193223       2.04202080      -4.02244520       3.75099087    
       30660  -7.15428352      -1.89817297      -1.03519499       2.02694154      -4.02244520       3.75099087    
       30720  -7.15170908      -1.99023187      -1.03397393       2.01910877      -4.02244520       3.75099087    
       30780  -7.15230036      -2.08709908      -1.02993190       2.01536155      -4.02244520       3.75099087    
       30840  -7.14376068      -2.19040322      -1.02332377       2.01303792      -4.02244520       3.75099087    
       30900  -7.13212681      -2.28425980      -1.01343632       2.01085997      -4.02244520       3.75099087    
       30960  -7.11364412      -2.37776399     -0.999648750       2.00911951      -4.02244520       3.75099087    
       31020  -7.09246540      -2.46666837     -0.981962144       2.00915885      -4.02244520       3.75099087    
       31080  -7.06964827      -2.54985213     -0.961285233       2.01202178      -4.02244520       3.75099087    
       31140  -7.04216290      -2.63633013     -0.939538836       2.01742125      -4.02244520       3.75099087    
       31200  -7.01061440      -2.72300363     -0.919754922       2.02322340      -4.02244520       3.75099087    
       31260  -6.96937609      -2.81193304     -0.905369163       2.02616739      -4.02244520       3.75099087    
       31320  -6.92549086      -2.90693426     -0.898218751       2.02362609      -4.02244520       3.75099087    
       31380  -6.87739992      -3.00800490     -0.898243785       2.01462936      -4.02244520       3.75099087    
       31440  -6.83760405      -3.11130238     -0.904534400       1.99928129      -4.02244520       3.75099087    
       31500  -6.79613113      -3.21131206     -0.916223705       1.97800195      -4.02244520       3.75099087    
       31560  -6.74908495      -3.30733037     -0.933180511       1.95127559      -4.02244520       3.75099087    
       31620  -6.69921541      -3.39539790     -0.955790281       1.92003405      -4.02244520       3.75099087    
       31680  -6.64591885      -3.48383713     -0.984256387       1.88594449      -4.02244520       3.75099087    
       31740  -6.59205389      -3.56541800      -1.01816463       1.85111189      -4.02244520       3.75099087    
       31800  -6.53705311      -3.64596605      -1.05633724       1.81756151      -4.02244520       3.75099087    
       31860  -6.48339415      -3.72308016      -1.09713316       1.78649366      -4.02244520       3.75099087    
       31920  -6.42030716      -3.79247999      -1.13855875       1.75777161      -4.02244520       3.75099087    
       31980  -6.35017729      -3.86681008      -1.17898405       1.72972357      -4.02244520       3.75099087    
       32040  -6.27586508      -3.93914533      -1.21774423       1.69960916      -4.02244520       3.75099087    
       32100  -6.21646929      -4.00908709      -1.25515795       1.66484141      -4.02244520       3.75099087    
       32160  -6.17037582      -4.08209705      -1.29167569       1.62417722      -4.02244520       3.75099087    
       32220  -6.11731195      -4.15075636      -1.32689381       1.57780850      -4.02244520       3.75099087    
       32280  -6.04817677      -4.21549940      -1.35936642       1.52686024      -4.02244520       3.75099087    
       32340  -5.96743250      -4.27226162      -1.38739896       1.47328806      -4.02244520       3.75099087    
       32400  -5.88519812      -4.32428217      -1.41022372       1.41942596      -4.02244520       3.75099087    
       32460  -5.79608297      -4.37709332      -1.42903006       1.36679649      -6.92108440       1.98458898    
       32520  -5.71394253      -4.43613672      -1.44660664       1.31534803      -6.92108440       1.98458898    
       32580  -5.62617159      -4.49475288      -1.46577060       1.26425004      -6.92108440       1.98458898    
       32640  -5.53334951      -4.54363346      -1.48766220       1.21332860      -6.92108440       1.98458898    
       32700  -5.43712330      -4.58530664      -1.51150620       1.16391528      -6.92108440       1.98458898    
       32760  -5.34317446      -4.62924814      -1.53583252       1.11822796      -6.92108440       1.98458898    
       32820  -5.24380493      -4.67133427      -1.55967116       1.07784665      -6.92108440       1.98458898    
       32880  -5.14765120      -4.71154356      -1.58288920       1.04293668      -6.92108440       1.98458898    
       32940  -5.04569149      -4.74285603      -1.60570538       1.01248980      -6.92108440       1.98458898    
       33000  -4.94936895      -4.77868366      -1.62843859      0.984911144      -6.92108440       1.98458898    
       33060  -4.84452820      -4.80187607      -1.65168309      0.958072960      -6.92108440       1.98458898    
       33120  -4.72587156      -4.83333111      -1.67548287      0.929187536      -6.92108440       1.98458898    
       33180  -4.59922552      -4.86607790      -1.69775701      0.895709455      -6.92108440       1.98458898    
       33240  -4.45802689      -4.89200497      -1.71540213      0.856270313      -6.92108440       1.98458898    
       33300  -4.30081797      -4.90630054      -1.72772348      0.810211778      -6.92108440       1.98458898    
       33360  -4.14774847      -4.92195272      -1.73649502      0.757235765      -6.92108440       1.98458898    
       33420  -3.99422169      -4.94178629      -1.74358833      0.697633505      -6.92108440       1.98458898    
       33480  -3.84274030      -4.95958042      -1.75004172      0.632854819      -6.92108440       1.98458898    
       33540  -3.69611716      -4.96233606      -1.75624442      0.565302372      -6.92108440       1.98458898    
       33600  -3.55679154      -4.96857786      -1.76209819      0.496694893      -6.92108440       1.98458898    
       33660  -3.42019463      -4.98278427      -1.76711166      0.427126110      -6.92108440       1.98458898    
       33720  -3.28354955      -4.99299860      -1.77065134      0.355687708      -6.92108440       1.98458898    
       33780  -3.14995193      -5.00328016      -1.77233744      0.281761050      -6.92108440       1.98458898    
       33840  -3.01981354      -5.01568937      -1.77231979      0.205792949      -6.92108440       1.98458898    
       33900  -2.87943077      -5.02040291      -1.77097094      0.129216284      -6.92108440       1.98458898    
       33960  -2.73444223      -5.02834940      -1.76864791       5.34218848E-02  -6.92108440       1.98458898    
       34020  -2.59382463      -5.04597139      -1.76568890      -2.10241210E-02  -6.92108440       1.98458898    
       34080  -2.45678616      -5.07163143      -1.76251841      -9.38943923E-02  -6.92108440       1.98458898    
       34140  -2.32287741      -5.09076834      -1.75965130     -0.164847285      -6.92108440       1.98458898    
       34200  -2.19422364      -5.10337448      -1.75750780     -0.233996376      -6.92108440       1.98458898    
       34260  -2.06248569      -5.11330271      -1.75653505     -0.302613527      -6.92108440       1.98458898    
       34320  -1.92523909      -5.13110399      -1.75743866     -0.372932971      -6.92108440       1.98458898    
       34380  -1.77968633      -5.14335108      -1.76083267     -0.446854025      -6.92108440       1.98458898    
       34440  -1.63929605      -5.15085030      -1.76685333     -0.524724483      -6.92108440       1.98458898    
       34500  -1.50023973      -5.15006828      -1.77566576     -0.605565786      -6.92108440       1.98458898    
       34560  -1.36519444      -5.15603304      -1.78816497     -0.687795341      -6.92108440       1.98458898    
       34620  -1.23412371      -5.16240025      -1.80577826     -0.769604266      -6.92108440       1.98458898    
       34680  -1.10496306      -5.17097521      -1.82904685     -0.849424362      -6.92108440       1.98458898    
       34740 -0.972404659      -5.17863083      -1.85611689     -0.925897181      -6.92108440       1.98458898    
       34800 -0.842762351      -5.18432713      -1.88253772     -0.997764468      -6.92108440       1.98458898    
       34860 -0.717805862      -5.19261694      -1.90337336      -1.06403673      -6.92108440       1.98458898    
