 20181222
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       53220   2.27014804       2.44096994       2.52214336    
       53280   2.28069234       2.44218755       2.52299118    
       53340   2.28439999       2.44218755       2.52357173    
       53400   2.28612494       2.44350243       2.52381420    
       53460   2.28612494       2.44350243       2.52357602    
       53520   9999.00000       2.44382000       2.52299571    
       53580   9999.00000       2.44382000       2.52197337    
       53640   9999.00000       2.44306636       2.52045465    
       53700   9999.00000       2.44306636       2.51861238    
       53760   9999.00000       2.44117403       2.51656699    
       53820   9999.00000       2.44117403       2.51459074    
       53880   9999.00000       2.43758345       2.16876054    
       53940   9999.00000       2.43758345       2.16979289    
       54000   9999.00000       2.43341398       2.17068553    
       54060   9999.00000       2.43341398       2.17139077    
       54120   9999.00000       2.42951608       2.17202449    
       54180   9999.00000       2.42951608       2.17253923    
       54240   9999.00000       2.42545533       2.17313504    
       54300   9999.00000       2.42545533       2.17359853    
       54360   9999.00000       2.42123604       2.17409539    
       54420   9999.00000       2.42123604       2.17465520    
       54480   9999.00000       2.41768670       2.17512441    
       54540   9999.00000       2.41768670       2.17560911    
       54600   9999.00000       2.41465759       2.17595506    
       54660   9999.00000       2.41465759       2.17613983    
       54720   9999.00000       2.41146469       2.17616415    
       54780   9999.00000       2.41146469       2.17599750    
       54840   9999.00000       2.40815449       2.17579651    
       54900   9999.00000       2.40815449       2.17557931    
       54960   9999.00000       2.40460849       2.17538333    
       55020   9999.00000       2.40460849       2.17527318    
       55080   9999.00000       2.40121365       2.17509913    
       55140   9999.00000       2.40121365       2.17494583    
       55200   9999.00000       2.39818835       2.17482233    
       55260   9999.00000       2.39818835       2.17481208    
       55320   9999.00000       2.39524555       2.17512155    
       55380   9999.00000       2.39524555       2.17560101    
       55440   9999.00000       2.39265656       2.17638254    
       55500   9999.00000       2.39265656       2.17717481    
       55560   9999.00000       2.39155960       2.17787695    
       55620   9999.00000       2.39155960       2.17831278    
       55680   9999.00000       2.39183116       2.17826986    
       55740   9999.00000       2.39183116       2.17779946    
       55800   9999.00000       2.39200354       2.17688680    
       55860   9999.00000       2.39200354       2.17570210    
       55920   9999.00000       2.39047909       2.17441750    
       55980   9999.00000       2.39047909       2.17299223    
       56040   9999.00000       2.38748169       2.17149138    
       56100   9999.00000       2.38748169       2.16977048    
       56160   9999.00000       2.38418770       2.16775298    
       56220   9999.00000       2.38418770       2.16579509    
       56280   9999.00000       2.38080788       2.16380072    
       56340   9999.00000       2.38080788       2.16182113    
       56400   9999.00000       2.37641287       2.15969086    
       56460   9999.00000       2.37641287       2.15751719    
       56520   9999.00000       2.37196660       2.15518594    
       56580   9999.00000       2.37196660       2.15274501    
       56640   9999.00000       2.36704993       2.15035248    
       56700   9999.00000       2.36704993       2.14778996    
       56760   9999.00000       2.36160851       2.14526677    
       56820   9999.00000       2.36160851       2.14267588    
       56880   9999.00000       2.35644579       2.13996506    
       56940   9999.00000       2.35644579       2.13739967    
       57000   9999.00000       2.35150218       2.13489842    
       57060   9999.00000       2.35150218       2.13255119    
       57120   9999.00000       2.34615254       2.13043904    
       57180   9999.00000       2.34615254       2.12841821    
       57240   9999.00000       2.34108329       2.12629199    
       57300   9999.00000       2.34108329       2.12411928    
       57360   9999.00000       2.33697438       2.12196040    
       57420   9999.00000       2.33697438       2.11969995    
