 20190702
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
       26520   9.48967171       6.18839550       9.48723698    
       26580   9.53393459       6.21010113       9.57832336    
       26640   9.58803272       6.22774887       9.67730045    
       26700   9.64016438       6.24154377       9.78734112    
       26760   9.68491840       6.25611973       9.90486526    
       26820   9.73770523       6.27715302       10.0183506    
       26880   9.78278732       6.30973434       10.1206388    
       26940   9.84131145       6.35260868       10.2052603    
       27000   9.88229465       6.39700174       10.2709770    
       27060   9.92524624       6.43291378       10.3199863    
       27120   9.96377087       6.45348406       10.3570433    
       27180   9.99721336       6.45918179       10.3887711    
       27240   10.0303278       6.45434666       10.4198351    
       27300   10.0709839       6.44232368       10.4507542    
       27360   10.1040983       6.42700005       10.4835720    
       27420   10.1483603       6.41372919       10.5136652    
       27480   10.1759014       6.40567780       10.5409489    
       27540   10.1885242       6.40273190       10.5667868    
       27600   10.2322950       6.40267181       10.5931520    
       27660   10.2516394       6.40415335       10.6197357    
       27720   10.2759018       6.40719461       10.6452074    
       27780   10.3036070       6.41244268       10.6695871    
       27840   10.3303280       6.42033672       10.6935005    
       27900   10.3581963       6.43006420       10.7170105    
       27960   10.3931150       6.43946600       10.7386971    
       28020   10.4198360       6.44692230       10.7585859    
       28080   10.4290161       6.45394707       10.7741804    
       28140   10.4465570       6.46136427       10.7846622    
       28200   10.4765577       6.46715975       10.7920895    
       28260   10.5085249       6.46995163       10.8005552    
       28320   10.5396719       6.47023392       10.8120909    
       28380   10.5754099       6.47111797       10.8259897    
       28440   10.6201639       6.47654200       10.8402023    
       28500   10.6583605       6.48800230       10.8501139    
       28560   10.6932783       6.50348186       10.8536577    
       28620   10.7232790       6.51969242       10.8522797    
       28680   10.7578688       6.53407717       10.8479662    
       28740   10.7819672       6.54533434       10.8415594    
       28800   10.8037701       6.55392694       10.8341236    
       28860   10.8447542       6.56154203       10.9084234    
       28920   10.8742619       6.56941748       10.9323864    
       28980   10.9021311       6.57788992       10.9475975    
       29040   10.9226227       6.58608437       10.9496984    
       29100   10.9575405       6.59203339       10.9428577    
       29160   10.9922953       6.59277153       10.9336548    
       29220   11.0242624       6.58486080       10.9263859    
       29280   11.0357380       6.56958246       10.9196997    
       29340   11.0480328       6.55358839       10.9066248    
       29400   11.0791807       6.54141855       10.8912697    
       29460   11.1050816       6.53193188       10.8714542    
       29520   11.1381969       6.52225876       10.8458080    
       29580   11.1557379       6.51003075       10.8253345    
       29640   11.1781969       6.49376297       10.8137398    
       29700   11.1875410       6.47661209       10.8145676    
       29760   11.1937704       6.46514750       10.8136892    
       29820   11.2060652       6.46399546       10.7989607    
       29880   11.2173767       6.47020531       10.7654085    
       29940   11.2247543       6.46976566       10.7163134    
       30000   11.2447538       6.45080185       10.6562824    
       30060   11.2709837       6.41473246       10.5941172    
       30120   11.3029509       6.36858702       10.5284700    
       30180   11.3344259       6.31834841       10.4555216    
       30240   11.3693447       6.26655197       10.3736267    
       30300   11.4009838       6.21045208       10.2776060    
       30360   11.4181967       6.14652538       10.1678495    
       30420   11.4472132       6.07096529       10.0496397    
       30480   11.4621315       5.98046255       9.93439388    
       30540   11.4949179       5.87790775       9.82638359    
       30600   11.5190163       5.77224159       9.72495556    
       30660   11.5518036       5.67109346       9.63374901    
       30720   11.5826225       5.57889366       9.55522823    
       30780   11.6190166       5.49559355       9.48474026    
       30840   11.6588526       5.42014980       9.41068840    
       30900   11.7022953       5.35514450       9.32573318    
       30960   11.7495079       5.29983950       9.23118973    
       31020   11.7954102       5.24429512       9.12995911    
       31080   11.8314753       5.17872334       9.03255844    
       31140   11.8757381       5.10225010       8.94557476    
       31200   11.9278688       5.02026653       8.86883450    
       31260   11.9545898       4.94067955       8.79692554    
       31320   11.9945898       4.86978579       8.72929287    
       31380   12.0331144       4.80984306       8.66733646    
       31440   12.0693445       4.75907850       8.61119080    
       31500   12.1090164       4.71422291       8.55900192    
       31560   12.1540985       4.67494059       8.50981998    
       31620   12.1859016       4.64122200       8.46412945    
       31680   12.2067213       4.61029387       8.42000580    
       31740   12.2340984       4.58170652       8.37706661    
       31800   12.2788525       4.55673885       8.33634949    
       31860   12.3062296       4.53496933       8.29877949    
       31920   12.3401642       4.51567221       8.26353836    
       31980   12.3573771       4.49833822       8.22953129    
       32040   12.3811474       4.48362494       8.19699192    
       32100   12.4172134       4.47267675       8.16573811    
       32160   12.4622955       4.46484280       8.13880539    
       32220   12.4937706       4.45857430       8.11853600    
       32280   12.5393438       4.45437860       8.10439301    
       32340   12.5639343       4.45499229       8.09509087    
       32400   12.5978689       4.46216059       8.09131432    
       32460   12.6319675       4.47498274       12.7052269    
       32520   12.6578684       4.49302483       12.7442379    
       32580   12.6754103       4.51647091       12.7889299    
       32640   12.6986885       4.54584694       12.8410110    
       32700   12.7077045       4.58179379       12.8972797    
       32760   12.7252455       4.62502003       12.9573975    
       32820   12.7413111       4.67644024       13.0137892    
       32880   12.7613115       4.73293877       13.0608988    
       32940   12.7785244       4.78794193       13.0952816    
       33000   12.8100004       4.83708239       13.1215200    
       33060   12.8304920       4.87855721       13.1382074    
       33120   12.8491802       4.91219759       13.1488752    
       33180   12.8554096       4.93882370       13.1610985    
       33240   12.8840981       4.95903873       13.1765718    
       33300   12.9173775       4.97448349       13.2010660    
       33360   12.9509840       4.98979902       13.2327948    
       33420   12.9832783       5.01024103       13.2745619    
       33480   13.0209837       5.03917265       13.3206568    
       33540   13.0531149       5.07919455       13.3682985    
       33600   13.0757380       5.13057280       13.4197140    
       33660   13.1000004       5.18980742       13.4767361    
       33720   13.1314754       5.25421190       13.5336323    
       33780   13.1642628       5.32512474       13.5901632    
       33840   13.2057381       5.40360451       13.6401758    
       33900   13.2377052       5.48750019       13.6835499    
       33960   13.2609835       5.57313633       13.7179222    
       34020   13.2847538       5.65599108       13.7463112    
       34080   13.3118029       5.73279905       13.7750969    
       34140   13.3498363       5.80196524       13.8075886    
       34200   13.3654099       5.86413765       13.8445482    
       34260   13.3795080       5.92389202       13.8908978    
       34320   13.4114752       5.98714447       13.9371548    
       34380   13.4432783       6.05847931       13.9736271    
       34440   13.4724588       6.13890076       13.9968481    
       34500   13.4839344       6.22190905       14.0171156    
       34560   13.5081968       6.29898071       14.0446606    
       34620   13.5224590       6.36896276       14.0802994    
       34680   13.5372133       6.43707466       14.1201038    
       34740   13.5473766       6.50845146       14.1568909    
       34800   13.5629511       6.58577204       14.1876354    
       34860   13.5924587       6.66552258       14.2153263    
       34920   13.6190166       6.74098015       14.2433462    
       34980   13.6462297       6.81025743       14.2653790    
       35040   13.6773767       6.87874079       14.2790184    
       35100   13.6924591       6.95158768       14.2883749    
       35160   13.7003279       7.02373505       14.3010769    
       35220   13.7104921       7.08823252       14.3170614    
       35280   13.7257376       7.14683867       14.3322477    
       35340   13.7549181       7.20444345       14.3432837    
       35400   13.7906561       7.26446581       14.3503914    
       35460   13.8259020       7.32631636       14.3514404    
       35520   13.8514757       7.38651180       14.3466959    
       35580   13.8749180       7.44239712       14.3440962    
       35640   13.9216394       7.49165392       14.3580923    
       35700   13.9588528       7.53393269       14.3851585    
